Price,Mileage,Make,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
16391.92657,18096,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,1,0
16033.93062,18391,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,1,1
16106.82722,19465,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,0,0
16551.21957,19531,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,1,1
17325.26954,19894,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,0,0
16078.66549,22779,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,0,1
15297.83597,23062,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,0,0
15505.29381,24239,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,1,0,0
15174.34661,27887,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,0,0
14546.88481,33374,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,1,1
17803.27909,12303,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,1,1,1
16353.09652,16078,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,1,0
15977.91108,17053,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,1
15568.97424,18206,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,0
15589.78048,21307,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,0
15730.04627,21391,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,1,1
15802.65286,21461,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,0
15086.89959,27438,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,1
14396.27056,31424,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,0
14869.28207,31791,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,1,1,1
16927.77976,2973,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,0
17418.06873,4463,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,1,0,1
16379.0987,8754,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,1,0
16706.67407,9150,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,0
17214.32508,12610,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,1,1,1
15821.94972,14304,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,1
14398.92269,21688,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,0
